College,Program,Year,Measure,Value,Formatted for Tables
University of Baltimore,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.712195951,71.22%
University of Baltimore,Accounting,2015,Graduation Rate,0.479142909,47.91%
University of Baltimore,Accounting,2015,Employment Rate,0.638706353,63.87%
University of Baltimore,Accounting,2015,Retention,0.167616369,16.76%
University of Baltimore,Accounting,2015,Earnings,5086.755665,"$5,087 "
University of Baltimore,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.114945099,11.49%
University of Baltimore,Management,2015,Graduation Rate,0.760482832,76.05%
University of Baltimore,Management,2015,Employment Rate,0.999528225,99.95%
University of Baltimore,Management,2015,Retention,0.399235431,39.92%
University of Baltimore,Management,2015,Earnings,8721.250995,"$8,721 "
University of Baltimore,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.948354441,94.84%
Montgomery College,Cyber Security,2016,Graduation Rate,0.479898671,47.99%
Montgomery College,Cyber Security,2016,Employment Rate,0.83158497,83.16%
Montgomery College,Cyber Security,2016,Retention,0.290213569,29.02%
Montgomery College,Cyber Security,2016,Earnings,76.85615285,$77 
Montgomery College,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.257841223,25.78%
Montgomery College,Accounting,2016,Graduation Rate,0.800303692,80.03%
Montgomery College,Accounting,2016,Employment Rate,0.429012664,42.90%
Montgomery College,Accounting,2016,Retention,0.734943855,73.49%
Montgomery College,Accounting,2016,Earnings,8725.562004,"$8,726 "
Montgomery College,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.214382672,21.44%
Montgomery College,Management,2016,Graduation Rate,0.086924488,8.69%
Montgomery College,Management,2016,Employment Rate,0.424009988,42.40%
Montgomery College,Management,2016,Retention,0.137361938,13.74%
Montgomery College,Management,2016,Earnings,5654.540076,"$5,655 "
Montgomery College,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.284720516,28.47%
Baltimore Community College,Cyber Security,2016,Graduation Rate,0.505646469,50.56%
Baltimore Community College,Cyber Security,2016,Employment Rate,0.948054498,94.81%
Baltimore Community College,Cyber Security,2016,Retention,0.978103873,97.81%
Baltimore Community College,Cyber Security,2016,Earnings,171.7180196,$172 
Baltimore Community College,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.24704151,24.70%
Baltimore Community College,Accounting,2016,Graduation Rate,0.194394814,19.44%
Baltimore Community College,Accounting,2016,Employment Rate,0.337051035,33.71%
Baltimore Community College,Accounting,2016,Retention,0.479013843,47.90%
Baltimore Community College,Accounting,2016,Earnings,3203.519123,"$3,204 "
Baltimore Community College,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.177779219,17.78%
Baltimore Community College,Management,2016,Graduation Rate,0.924037601,92.40%
Baltimore Community College,Management,2016,Employment Rate,0.183268775,18.33%
Baltimore Community College,Management,2016,Retention,0.0685464,6.85%
Baltimore Community College,Management,2016,Earnings,3425.161713,"$3,425 "
Baltimore Community College,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.905920057,90.59%
University of Baltimore,Cyber Security,2016,Graduation Rate,0.84952186,84.95%
University of Baltimore,Cyber Security,2016,Employment Rate,0.248747557,24.87%
University of Baltimore,Cyber Security,2016,Retention,0.622647367,62.26%
University of Baltimore,Cyber Security,2016,Earnings,5699.003359,"$5,699 "
University of Baltimore,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.35189079,35.19%
University of Baltimore,Accounting,2016,Graduation Rate,0.4838842,48.39%
University of Baltimore,Accounting,2016,Employment Rate,0.508599523,50.86%
University of Baltimore,Accounting,2016,Retention,0.759636825,75.96%
University of Baltimore,Accounting,2016,Earnings,6267.669816,"$6,268 "
University of Baltimore,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.827443558,82.74%
University of Baltimore,Management,2016,Graduation Rate,0.583396562,58.34%
University of Baltimore,Management,2016,Employment Rate,0.491838353,49.18%
University of Baltimore,Management,2016,Retention,0.38640926,38.64%
University of Baltimore,Management,2016,Earnings,5504.182136,"$5,504 "
University of Baltimore,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.594113987,59.41%
